Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,104,105,106,108,3269728,4372603,4438736,4439094,4439475,5901326,5917712,7723955,30369354,34703847,36200067,36671067,37052366,38834077,39168240,39379024,Grand Total
22-Mar,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92
23-Mar,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85
24-Mar,208,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126
25-Mar,68,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63
26-Mar,46,48,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39
27-Mar,22,26,70,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34
28-Mar,45,24,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
29-Mar,76,31,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52
30-Mar,75,30,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49
31-Mar,41,31,39,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36
1-Apr,47,24,36,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33
2-Apr,61,38,56,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50
3-Apr,27,32,39,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33
7-Apr,41,37,49,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42
8-Apr,75,44,56,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57
9-Apr,116,49,54,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69
10-Apr,117,50,55,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68
11-Apr,99,22,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46
12-Apr,20,8,14,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
13-Apr,26,13,22,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
14-Apr,29,19,23,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
15-Apr,47,34,42,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41
16-Apr,48,45,61,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54
17-Apr,24,20,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24
18-Apr,36,31,37,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34
19-Apr,58,37,38,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44
20-Apr,52,22,31,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33
21-Apr,31,19,23,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
22-Apr,44,18,26,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24
23-Apr,33,20,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27
24-Apr,42,19,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28
25-Apr,46,19,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
26-Apr,32,20,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25
27-Apr,20,10,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
28-Apr,14,8,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
29-Apr,25,19,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24
30-Apr,41,20,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
1-May,42,13,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28
2-May,46,30,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36
3-May,44,20,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31
4-May,50,27,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35
5-May,38,15,22,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24
6-May,30,18,26,25,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26
7-May,38,17,22,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25
8-May,59,24,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37
9-May,29,16,22,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25
10-May,32,13,21,16,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26
11-May,22,11,18,12,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
12-May,35,15,24,20,19,30,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
13-May,36,19,25,19,32,30,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
14-May,34,22,34,24,26,35,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28
15-May,23,11,18,14,12,28,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
16-May,20,14,19,15,13,31,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
17-May,25,23,26,22,37,35,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27
18-May,26,24,30,,27,31,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25
19-May,26,38,40,,36,41,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37
20-May,38,31,33,,36,34,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35
21-May,54,31,38,,38,39,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39
22-May,40,19,,,21,26,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26
23-May,25,11,,22,13,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
24-May,17,10,,16,14,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
25-May,22,12,21,,24,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
26-May,21,9,17,,16,17,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
27-May,36,11,19,,23,20,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
