iter	Passed	Remaining
0	180	361514
1	198	198615
2	220	146675
3	245	122590
4	299	119565
5	326	108648
6	344	98108
7	370	92235
8	384	85120
9	405	80753
10	431	78073
11	444	73563
12	457	69991
13	476	67548
14	497	65878
15	517	64128
16	534	62380117	559	61628118	587	61247119	611	60511220	626	58999221	661	59468222	683	58745223	704	57983224	717	56702225	734	55765226	772	56413
27	791	55758
28	809	55021
29	833	54740
30	866	55061
31	890	54765
32	952	56763
33	969	56047
34	987	55455335	1012	55253636	1034	54883737	1055	54503838	1081	54373939	1118	54784040	1143	54624141	1166	54384242	1186	53994343	1206	53614444	1226	53299
45	1245	52906
46	1267	52688
47	1293	52586
48	1313	52292
49	1330	51888
50	1350	1348	751	1351	1363	752	1385	50907
53	1453	1418	77384
54	1441	755	1455	1464	756	1456	1489	76914
57	1506	758	1558	1526	76070
59	1552	76057
60	1577	75994
61	1601	75886
62	1630	75999
63	1650	75704
64	1670	75444
65	1690	75152
66	1718	75225
67	1736	74885
68	1754	74542
69	1769	74070
70	1779	73390
71	1792	72900
72	1808	72525
73	1825	72169
74	1842	71876
75	1863	71686
76	1885	71589
77	1896	71038
78	1917	70903
79	1939	70807
80	1959	70603
81	1976	70338
82	1994	70109
83	2017	70048
84	2038	69912
85	2053	69566
86	2071	69362
87	2088	69119
88	2105	68867
89	2130	68889
90	2147	68654
91	2174	68727
92	2191	68510
93	2211	68362
94	2226	68071
95	2246	67960
96	2265	67797
97	2281	67562
98	2296	67305
99	2323	67394
100	2345	67320
101	2358	67007
102	2375	66809
103	2396	66738
104	2414	66583
105	2434	66457
106	2445	66129
107	2468	66102
108	2491	66076
109	2501	65733
110	2523	65680
111	2542	65566
112	2563	65502
113	2583	65405
114	2602	65293
115	2622	65207
116	2635	64939
117	2655	64856
118	2676	64788
119	2691	64591
120	2712	64537
121	2731	64446
122	2754	64431
123	2775	64376
124	2794	64273
125	2812	64158
126	2827	63959
127	2837	63663
128	2856	63568
129	2876	63514
130	2895	63403
131	2912	63274
132	2932	63208
133	2951	63130
134	2968	62990
135	2986	62887
136	3007	62849
137	3031	62874
138	3053	62854
139	3069140	307140	3087141	309141	3110	62613
142	3133143	313143	3153144	315144	3172145	317145	3192146	319146	3211	62331
147	3223148	322148	3249	62171
149	3274	62218
150	3295	62175
151	3312	62069
152	3330153	333153	3346	61841
154	3367	61819
155	3382	61668
156	3403	6157	3157	3436	61817
158	3455	61740
159	3472	61645
160	3492	61576
161	3511	61523
162	3536	61552
163	3558	61541
164	3574	61414
165	3593	61355
166	3613	61307
167	3632	61233
168	3659	61295
169	3684	61341
170	3702	61256
171	3723	61214
172	3741	61140
173	3761	61083
174	3778	60991
175	3790	60823
176	3816	60863
177	3831	60746
178	3856	60774
179	3868	60601
180	3884	60492
181	3908	60524
182	3922	60388
183	3936184	394184	3956185	3975	38775
186	398186	3998187	400187	4011188	402188	4031189	404189	4052190	406190	4069191	4088	38500
192	4115	38531
193	4127	38426
194	4194	4140	5195	4195	4169	5196	4196	4193	5197	4197	4213	5198	4198	4236	5199	4199	4257	5200	4284	38349
201	4315	38411
202	4332	38351
203	4372	38498
204	4404	38567
205	4427	38560
206	4450	38553
207	4476	38570
208	4500	38564
209	4523	38554
210	4546	38546
211	4570	38545
212	4592	38528
213	4612	38493
214	4635	38481
215	4665	38529
216	4681	38463
217	4695	38379
218	4713	38334
219	472219	4733220	4757	38297
221	4221	4772	5222	4222	4796	5223	4223	4829	5224	4224	4853	5225	4225	4873	5226	4226	4895	5227	4227	4916	59777
22228	4944229	422229	4961230	423230	4981231	423231	5004232	5232	5020	5233	5233	5045	5234	5234	5064	5235	5235	5090	5236	5236	5110	5237	523237	5132238	5238	5156	5239	523239	5175240	524240	5193241	524241	5214242	5242	5233	5243	524243	5254244	5244	5277	5245	5245	5298	5246	5246	5318	59276
247	5339	5248	524248	5360249	5249	5380	5250	5250	5399	59135
251	5423	5252	5252	5445	5253	5253	5472	59159
25254	5501	592225255	5526	592325256	5541	591425257	5562	5911258	5580	59055
259	5597	58992
260	5622	59002
261	5643	58978
262	5669	58996
263	5694	59011
264	5715	58992
265	5737	58970
266	5751	58871
267	5772	58840
268	5796	58847
269	5811	58761
270	5841	58825
271	5862	58798
272	5878	58720
273	5906	58768
274	5931	58775
275	5961	58836
276	5982	58814
277	6003	58785
278	6021	58721
279	6052	58797
280	6066	58704
281	6085	58650
282	6111	58672
283	6140	58719
284	6161	58693
285	6181	58658
286	6207	58678
287	6232	58692
288	6268	58800
289	6289	58778
290	6312	58765
291	6326	58675
292	6336	58539
293	6352	58467
294	6371	5295	6295	6391	58384
296	6411	5297	6297	6434	5298	6298	6459	5299	6299	6474	5300	6300	6495	5301	6301	6524	58291
302	6546	58267
303	6575	58316
304	6600	58326
305	6627	58348
306	6649	58327
307	6672	58315
308	6692	58282
309	6728	58385
310	6750	58369
311	6770	58334
312	6794	58325
313	6809	58246
314	6832	58240
315	6854	58223
316	6878	58219
317	6905	58239
318	6923	58186
319	6949	58205
320	6969	58170
321	6986	58103
322	7000	58016
323	7020	57985
324	7042	57966
325	7059	57902
326	7082	57893
327	7110	57927
328	7134	57918
329	7155	57897
330	7211	58146
331	7249	58255
332	7275	58266
333	7301	58279
334	7320	58237
335	7341	58206
336	7363	58190
337	7387	58185
338	7407	58149
339	7421	58058
340	7438	58006
341	7460	57979
342	7480	57946
343	7501	57920
344	7525	57913
345	7541	57849
346	7560	57801
347	7583	57788
348	7601	57743
349	7626	57742
350	7644	57690
351	7667	57677
352	7686	57635
353	7699	57554
354	7715	57488
355	7752	57575
356	7774	57561
357	7799	57556
358	7824	57561
359	7848	57552
360	7874	57563
361	7893	57520
362	7914	57492
363	7930	57434
364	7953	57416
365	7976	57401
366	7999	57394
367	8022	57378
368	8056	57442
369	8073	57389
370	8096	57370
371	8113	57317
372	8137	57314
373	8153	57247
374	8161	57129
375	8179	57083
376	8191	56995
377	8212	569378378	8226	568379379	8248	568380380	8272	56864
381	8288	568382382	8309	567383383	8338	56808
384	8363	56805
385	8377	56735
386	8396	56695
387	8423	56707
38388	8450	567238389	8473	567039390	8493	566739391	8513	566339392	8542	566639393	8559	5661394	8580	56586
39395	8600	565539396	8623	565439397	8645	565239398	8670	565239399	8712	566340400	8732	565940401	8765	566440402	8791	566540403	8807	540440404	8833	56602
405	8849	56539
855	34658
407	8871	34617
408	8886	34567
409	8899	34512
410	8909	34445
411	8918	34373
412	8925	34297
413	8934	34225
414	8941	34150
415	8949	34075
416	8955	33997
417	8961	33917
418	8968	33841
419	8974	33762
420	8980	33683
0	2303	7689
461	2307	7683
462	2310	7670
463	2312	7654
464	2314	7640
465	2319	7633
466	2322	7624
467	2333	7639
468	2336	7628
469	2344	7632
470	2353	7641
471	2355	7625
472	2357	7609
473	2360	7600
474	2368	7605
475	2370	7588
476	2374	7580
477	2375	7564
478	2376	7546
479	2380	7537
480	2382	467	2375	7776
468	2383	7781
469	2391	7786
470	2393	7770
471	2400	7769
472	2403	7758
473	2407	7749
474	2414	7750
475	2416	7738
476	2422	7734
477	2425	7724
478	2427	7709
479	2429	7693479	2433	7704
480	2438	7699
4482	2441	7668482	2446	7684
483	2449	7673
4485	2452	76404486	2458	7637
487	2462	7630
488	2467	7623
489	2473	7622
490	2478	7617
491	2485	7618
492	2493	7623
493	2502	7629
494	2509	7631
