iter	RMSE
0	52.53771422
1	50.15161204
2	48.24695331
3	46.56178318
4	44.82250458
5	43.31489841
6	41.92337902
7	40.76153212
8	39.61870217
9	38.61466478
10	37.77336225
11	36.87775583
12	36.17950424
13	35.48996664
14	34.90507382
15	34.38036692
16	33.8146653
17	33.48066599
18	33.08988187
19	32.62874477
20	32.05511397
21	31.72424845
22	31.32724679
23	31.05416062
24	30.69374552
25	30.39404423
26	30.12853067
27	29.92814682
28	29.61612516
29	29.25416577
30	29.14391585
31	28.95039636
32	28.73690135
33	28.64721892
34	28.36017183
35	28.11297303
36	28.0005977
37	27.82680931
38	27.59969933
39	27.40939074
40	27.31248258
41	27.09638996
42	26.96776278
43	26.85941447
44	26.67811246
45	26.46594262
46	26.34489387
47	26.28510487
48	26.1443678
49	26.0562246
50	25.93202582
51	25.87806745
52	25.54818937
53	25.41261524
54	25.17646747
55	24.98674517
56	24.81410046
57	24.74257632
58	24.644754
59	24.43024052
60	24.29289164
61	24.11790596
62	23.93959958
63	23.82964952
64	23.78006951
65	23.57893141
66	23.5264629
67	23.46346037
68	23.41916202
69	23.24014277
70	23.09340754
71	22.9954188
72	22.95375102
73	22.89041782
74	22.8438357
75	22.77916581
76	22.70743732
77	22.63118932
78	22.5600307
79	22.51658362
80	22.46224461
81	22.32835429
82	22.27908374
83	22.23226454
84	22.17994452
85	22.12962278
86	22.06862498
87	22.00431409
88	21.9349644
89	21.81889687
90	21.76936854
91	21.72927649
92	21.53663163
93	21.51315994
94	21.48519571
95	21.45745502
96	21.42144288
97	21.19582246
98	21.14851033
99	20.94785453
100	20.89638452
101	20.85855214
102	20.80037133
103	20.76470637
104	20.7134509
105	20.68125665
106	20.63378506
107	20.60798949
108	20.58309632
109	20.55915864
110	20.37687274
111	20.19674539
112	20.14721157
113	20.12468343
114	20.09963759
115	19.92743934
116	19.90628601
117	19.88590505
118	19.68268579
119	19.50828418
120	19.32443363
121	19.29712974
122	19.16609366
123	18.9585739
124	18.93271884
125	18.91865827
126	18.90286229
127	18.86709791
128	18.85009579
129	18.71619273
130	18.53113187
131	18.51308632
132	18.3425528
133	18.27888282
134	18.26560453
135	18.25049236
136	18.23532522
137	18.08868949
138	18.00667872
139	17.85380136
140	17.67055157
141	17.56490701
142	17.43354018
143	17.40696448
144	17.21279523
145	17.18657536
146	17.07855866
147	16.95901777
148	16.9231217
149	16.88964323
150	16.78353775
151	16.66295456
152	16.5442018
153	16.44872642
154	16.40534424
155	16.35046847
156	16.2223584
157	16.19157489
158	16.09864146
159	15.88852106
160	15.85784983
161	15.70010503
162	15.6633667
163	15.5217268
164	15.37770026
165	15.34573331
166	15.24285468
167	15.20473892
168	15.11922987
169	14.97718059
170	14.89382785
171	14.77092789
172	14.73257019
173	14.62990554
174	14.59282705
175	14.48902782
176	14.44928816
177	14.37932816
178	14.34840401
179	14.31491582
180	14.27202893
181	14.24479263
182	14.15280058
183	14.02345353
184	13.98829318
185	13.96982155
186	13.93898223
187	13.86155788
188	13.74110929
189	13.61408593
190	13.57709132
191	13.46407647
192	13.43864068
193	13.40667309
194	13.38606112
195	13.37140337
196	13.35356919
197	13.30575816
198	13.27540712
199	13.24603067
200	13.22792748
201	13.19707517
202	13.14895696
203	13.13424848
204	13.04857867
205	13.00290792
206	12.89773564
207	12.85916884
208	12.82882622
209	12.80207483
210	12.77523192
211	12.75848323
212	12.70146819
213	12.6939258
214	12.68513534
215	12.66615199
216	12.64266048
217	12.61281141
218	12.57274801
219	12.50657054
220	12.48323274
221	12.40095408
222	12.38380917
223	12.32272984
224	12.2695212
225	12.16258275
226	12.13832755
227	12.07743782
228	11.97472952
229	11.8787513
230	11.82855911
231	11.75485404
232	11.74096866
233	11.70163806
234	11.68806805
235	11.67334967
236	11.65993931
237	11.64154952
238	11.58668303
239	11.5030974
240	11.48704188
241	11.47439783
242	11.46542818
243	11.42684818
244	11.35603722
245	11.34025402
246	11.27772866
247	11.26836388
248	11.26064854
249	11.24447493
250	11.17968142
251	11.07775969
252	10.99152415
253	10.98243721
254	10.97514483
255	10.96757589
256	10.95517676
257	10.90490011
258	10.8940315
259	10.88771563
260	10.84422715
261	10.81045165
262	10.79865487
263	10.79227561
264	10.7838246
265	10.76023735
266	10.72882304
267	10.64742708
268	10.63467862
269	10.62653451
270	10.61640361
271	10.60626734
272	10.59241346
273	10.5380487
274	10.52181766
275	10.51711358
276	10.50949564
277	10.49821306
278	10.43182804
279	10.42797718
280	10.42526623
281	10.38301467
282	10.32656458
283	10.31018691
284	10.27774081
285	10.27087926
286	10.26783205
287	10.248084
288	10.2065108
289	10.14909104
290	10.13555604
291	10.08884451
292	10.0699635
293	10.05565244
294	10.03911976
295	10.0213048
296	9.99965439
297	9.935741354
298	9.92625945
299	9.918684261
300	9.902524867
301	9.889319357
302	9.83404631
303	9.827982103
304	9.757984402
305	9.728303504
306	9.710015298
307	9.681209988
308	9.666986152
309	9.65144468
310	9.642746273
311	9.572702001
312	9.510361563
313	9.500360624
314	9.449291438
315	9.443126212
316	9.42912924
317	9.421890509
318	9.378523902
319	9.340170484
320	9.333869285
321	9.323339269
322	9.312811672
323	9.270777129
324	9.224438238
325	9.204654664
326	9.186194952
327	9.156720161
328	9.146096964
329	9.092075778
330	9.046937736
331	9.041210961
332	9.019490544
333	9.012982582
334	9.007029808
335	8.984125218
336	8.95842698
337	8.931101843
338	8.898006549
339	8.893840796
340	8.842970058
341	8.794560941
342	8.726135908
343	8.721419396
344	8.714214206
345	8.675019677
346	8.666006991
347	8.660365372
348	8.596092374
349	8.541308912
350	8.522224754
351	8.518533776
352	8.512028728
353	8.501168303
354	8.490615374
355	8.460317874
356	8.445090356
357	8.440512244
358	8.432181552
359	8.405438754
360	8.334110744
361	8.312450571
362	8.305501367
363	8.30027143
364	8.265431203
365	8.261863254
366	8.259931516
367	8.191981831
368	8.161434246
369	8.152469419
370	8.143880813
371	8.090274121
372	8.016138624
373	7.996945752
374	7.991071975
375	7.978274608
376	7.958270633
377	7.954469786
378	7.948076199
379	7.941701368
380	7.909435644
381	7.8991115
382	7.88374748
383	7.874798141
384	7.856334105
385	7.83752799
386	7.789328561
387	7.743701465
388	7.678973249
389	7.633733611
390	7.628561305
391	7.578719297
392	7.528236047
393	7.523268314
394	7.519067779
395	7.482904552
396	7.441092377
397	7.418135637
398	7.414561128
399	7.403003753
400	7.369409038
401	7.355218399
402	7.347144192
403	7.334195556
404	7.272890122
405	7.255334521
406	7.251316509
407	7.246285719
408	7.243304922
409	7.213278085
410	7.188020896
411	7.182764752
412	7.178569753
413	7.154570272
414	7.148075252
415	7.108794344
416	7.071195623
417	7.028154506
418	7.023819968
419	7.01360069
420	7.010677503
421	7.008415269
422	6.976947105
423	6.966329842
424	6.935654182
425	6.930932505
426	6.905546177
427	6.857298749
428	6.842337421
429	6.804813637
430	6.757849995
431	6.723350908
432	6.683030657
433	6.654646388
434	6.612551503
435	6.604720308
436	6.573884833
437	6.522320008
438	6.499922693
439	6.49067296
440	6.469636998
441	6.466006225
442	6.448979198
443	6.402594139
444	6.359950883
445	6.318439968
446	6.303113661
447	6.255201973
448	6.249324838
449	6.216558791
450	6.213179476
451	6.182347501
452	6.131260699
453	6.08623941
454	6.049281213
455	6.030128938
456	6.017918819
457	5.997761534
458	5.965257433
459	5.955265464
460	5.934159656
461	5.916243221
462	5.910946904
463	5.90366248
464	5.898016973
465	5.888185818
466	5.880393286
467	5.847647894
468	5.825373708
469	5.792532296
470	5.759990011
471	5.745049845
472	5.727138255
473	5.681938852
474	5.650824127
475	5.645898049
476	5.611568557
477	5.599635337
478	5.568991184
479	5.560854462
480	5.519327228
481	5.510201493
482	5.507991762
483	5.46379964
484	5.436094336
485	5.426123593
486	5.424509279
487	5.400504178
488	5.388528391
489	5.356344828
490	5.350769251
491	5.328300377
492	5.319805087
493	5.313236402
494	5.307687734
495	5.30497202
496	5.290923833
497	5.267481007
498	5.256429711
499	5.24355947
500	5.231063158
501	5.222236938
502	5.216532498
503	5.200486999
504	5.187667778
505	5.17712577
506	5.148664971
507	5.11642418
508	5.099199774
509	5.084594935
510	5.059512921
511	5.054649672
512	5.05225845
513	5.041732953
514	5.03690637
515	5.024986112
516	5.022014204
517	4.986836478
518	4.975188614
519	4.953628905
520	4.93805793
521	4.936399577
522	4.934762038
523	4.920880541
524	4.879907811
525	4.878317877
526	4.854893661
527	4.846274979
528	4.840362197
529	4.836277697
530	4.830305508
531	4.827613346
532	4.826083784
533	4.798008596
534	4.762732453
535	4.75073754
536	4.745525798
537	4.720850658
538	4.688441385
539	4.672102363
540	4.664831757
541	4.663444087
542	4.642468906
543	4.626562248
544	4.625104609
545	4.619794498
546	4.589917526
547	4.568557531
548	4.551283225
549	4.548457304
550	4.525659985
551	4.50800645
552	4.483799568
553	4.463776044
554	4.452425909
555	4.43761453
556	4.419796454
557	4.396461824
558	4.395133356
559	4.386310696
560	4.369573324
561	4.367732122
562	4.365455392
563	4.363365169
564	4.361474595
565	4.353547876
566	4.333682148
567	4.330399693
568	4.328382918
569	4.315411235
570	4.30740486
571	4.305760799
572	4.304448686
573	4.300810942
574	4.299870747
575	4.2703376
576	4.249514924
577	4.230878993
578	4.211505132
579	4.207831893
580	4.201070413
581	4.192839642
582	4.174333092
583	4.171023559
584	4.153848058
585	4.14392635
586	4.120500462
587	4.119452662
588	4.11719367
589	4.095901796
590	4.094729386
591	4.093116442
592	4.085272557
593	4.079114445
594	4.074478577
595	4.064080238
596	4.050594071
597	4.044506662
598	4.022534577
599	4.000602467
600	3.990724693
601	3.974491458
602	3.972846535
603	3.971628321
604	3.960128482
605	3.956296272
606	3.938738834
607	3.937293651
608	3.921971397
609	3.92025033
610	3.905139912
611	3.888754304
612	3.867004335
613	3.864191852
614	3.847953772
615	3.826795966
616	3.821120479
617	3.817285323
618	3.808536392
619	3.794671029
620	3.774572324
621	3.75434848
622	3.745118332
623	3.715357998
624	3.699609348
625	3.687500829
626	3.684291927
627	3.676359769
628	3.672753992
629	3.6710753
630	3.666545382
631	3.65523211
632	3.650969106
633	3.640897552
634	3.624853095
635	3.603886855
636	3.602219288
637	3.58957759
638	3.587237545
639	3.569231156
640	3.549880116
641	3.537392981
642	3.530441583
643	3.509726557
644	3.501093706
645	3.487643252
646	3.477687486
647	3.455795317
648	3.434455477
649	3.432300053
650	3.430309004
651	3.410553421
652	3.405099752
653	3.385510988
654	3.368954519
655	3.367640813
656	3.366284214
657	3.362029601
658	3.352399585
659	3.351073179
660	3.349866875
661	3.346954404
662	3.334270986
663	3.31445164
664	3.308177676
665	3.301088148
666	3.2988887
667	3.29614611
668	3.28291883
669	3.279703445
670	3.275628507
671	3.263555462
672	3.253655752
673	3.252068813
674	3.232111842
675	3.229753163
676	3.217639521
677	3.199706828
678	3.18791568
679	3.183332583
680	3.174290849
681	3.162588631
682	3.149442595
683	3.140955324
684	3.128922118
685	3.120306127
