ds,temp,wind_speed,humidity,pressure
2020-02-10,5.60,10.10,78.29,918.64
2020-02-11,-3.50,16.20,90.83,924.91
2020-02-12,-1.20,20.80,68.04,918.59
2020-02-13,-0.60,12.30,86.62,927.45
2020-02-14,-2.50,11.00,91.33,932.97
2020-02-15,0.10,12.70,67.29,923.14
2020-02-16,-0.90,19.00,75.21,938.17
2020-02-17,-2.60,10.20,72.21,933.69
2020-02-18,-3.50,5.80,77.50,933.82
2020-02-19,-6.30,13.80,89.92,939.45
2020-02-20,-4.10,21.60,72.33,927.93
2020-02-21,2.30,17.10,50.62,917.42
2020-02-22,7.30,12.20,40.12,923.47
2020-02-23,0.80,10.50,90.79,928.42
2020-02-24,3.10,6.10,75.75,924.78
2020-02-25,5.30,9.10,68.62,924.82
2020-02-26,6.70,14.90,48.17,918.57
2020-02-27,3.10,12.80,82.38,926.13
2020-02-28,-0.70,11.30,85.04,931.70
2020-02-29,2.00,16.00,70.46,925.88
2020-03-01,6.50,10.70,41.25,921.38
2020-03-02,9.60,7.60,32.42,920.83
2020-03-03,6.10,13.30,62.96,923.69
2020-03-04,1.20,9.40,77.62,926.36
2020-03-05,4.20,12.40,65.08,919.28
2020-03-06,2.70,8.80,86.92,925.12
2020-03-07,-5.20,11.00,80.88,935.08
2020-03-08,-9.90,18.80,63.54,937.74
2020-03-09,-1.50,18.40,47.96,930.61
2020-03-10,0.50,8.90,48.08,928.75
2020-03-11,2.00,7.50,43.04,928.98
2020-03-12,3.30,12.70,51.17,925.70
2020-03-13,5.50,9.50,50.58,926.85
2020-03-14,10.10,5.40,31.33,925.92
2020-03-15,10.30,12.20,34.08,924.02
2020-03-16,10.70,7.20,30.33,922.50
2020-03-17,14.00,9.20,26.04,924.35
2020-03-18,12.60,8.70,65.71,929.44
2020-03-19,10.80,10.80,75.50,923.98
2020-03-20,8.50,10.60,75.42,920.40
2020-03-21,12.10,18.70,58.67,917.90
2020-03-22,9.10,10.20,72.21,927.76
2020-03-23,2.80,11.60,90.42,928.88
2020-03-24,2.00,10.90,64.00,926.68
2020-03-25,-2.50,14.00,62.33,930.33
2020-03-26,-0.50,12.10,57.54,929.44
2020-03-27,6.10,9.80,53.25,926.38
2020-03-28,9.10,12.10,50.08,924.68
2020-03-29,6.20,9.40,53.62,927.49
2020-03-30,7.30,10.30,47.83,922.71
2020-03-31,11.00,10.90,46.29,915.48
2020-04-01,11.40,9.80,59.58,917.98
2020-04-02,9.30,7.60,84.92,925.98
2020-04-03,10.10,8.90,78.58,927.02
2020-04-04,13.40,9.80,45.50,925.53
2020-04-05,14.30,8.60,39.33,923.57
2020-04-06,11.30,10.90,62.79,924.30
2020-04-07,15.10,9.70,60.08,921.85
2020-04-08,5.80,15.20,87.83,924.66
2020-04-09,0.90,12.40,90.71,933.09
2020-04-10,-0.00,16.50,75.50,931.81
2020-04-11,7.50,17.30,60.71,923.74
2020-04-12,14.90,11.30,55.29,921.13
2020-04-13,12.20,10.50,82.54,922.04
