ds,temp,wind_speed
2020-02-10,5.6,10.1
2020-02-11,-3.5,16.2
2020-02-12,-1.2,20.8
2020-02-13,-0.6,12.3
2020-02-14,-2.5,11.0
2020-02-15,0.1,12.7
2020-02-16,-0.9,19.0
2020-02-17,-2.6,10.2
2020-02-18,-3.5,5.8
2020-02-19,-6.3,13.8
2020-02-20,-4.1,21.6
2020-02-21,2.3,17.1
2020-02-22,7.3,12.2
2020-02-23,0.8,10.5
2020-02-24,3.1,6.1
2020-02-25,5.3,9.1
2020-02-26,6.7,14.9
2020-02-27,3.1,12.8
2020-02-28,-0.7,11.3
2020-02-29,2.0,16.0
2020-03-01,6.5,10.7
2020-03-02,9.6,7.6
2020-03-03,6.1,13.3
2020-03-04,1.2,9.4
2020-03-05,4.2,12.4
2020-03-06,2.7,8.8
2020-03-07,-5.2,11.0
2020-03-08,-9.9,18.8
2020-03-09,-1.5,18.4
2020-03-10,0.5,8.9
2020-03-11,2.0,7.5
2020-03-12,3.3,12.7
2020-03-13,5.5,9.5
2020-03-14,10.1,5.4
2020-03-15,10.3,12.2
2020-03-16,10.7,7.2
2020-03-17,14.0,9.2
2020-03-18,12.6,8.7
2020-03-19,10.8,10.8
2020-03-20,8.5,10.6
2020-03-21,12.1,18.7
2020-03-22,9.1,10.2
2020-03-23,2.8,11.6
2020-03-24,2.0,10.9
2020-03-25,-2.5,14.0
2020-03-26,-0.5,12.1
2020-03-27,6.1,9.8
2020-03-28,9.1,12.1
2020-03-29,6.2,9.4
2020-03-30,7.3,10.3
2020-03-31,11.0,10.9
2020-04-01,11.4,9.8
2020-04-02,9.3,7.6
2020-04-03,10.1,8.9
2020-04-04,13.4,9.8
2020-04-05,14.3,8.6
2020-04-06,11.3,10.9
2020-04-07,15.1,9.7
2020-04-08,5.8,15.2
2020-04-09,0.9,12.4
2020-04-10,-0.0,16.5
2020-04-11,7.5,17.3
2020-04-12,14.9,11.3
2020-04-13,12.2,10.5
2020-04-14,10.9,9.5
2020-04-15,7.3,15.6
2020-04-16,7.4,9.8
2020-04-17,9.8,7.6
2020-04-18,13.2,7.9
2020-04-19,15.2,8.4
2020-04-20,16.0,7.9
2020-04-21,16.5,10.8
2020-04-22,16.9,11.1
2020-04-23,17.5,9.3
2020-04-24,19.7,15.7
2020-04-25,20.3,14.8
2020-04-26,18.3,8.3
2020-04-27,21.2,17.3
2020-04-28,22.1,21.0
2020-04-29,17.2,11.5
2020-04-30,14.4,13.5
2020-05-01,16.5,11.7
2020-05-02,15.7,7.4
2020-05-03,17.8,14.6
2020-05-04,17.5,9.3
2020-05-05,15.1,13.0
2020-05-06,12.1,6.6
2020-05-07,15.2,8.9
2020-05-08,18.9,8.4
2020-05-09,18.4,16.3
2020-05-10,16.6,9.0
2020-05-11,17.8,8.6
2020-05-12,19.2,7.3
2020-05-13,19.6,8.2
2020-05-14,18.9,25.2
2020-05-15,13.9,8.9
2020-05-16,15.0,8.0
2020-05-17,16.0,6.6
2020-05-18,18.3,5.8
2020-05-19,12.9,9.4
2020-05-20,14.9,8.9
2020-05-21,17.4,12.7
2020-05-22,19.1,7.1
2020-05-23,20.3,8.7
2020-05-24,20.6,7.1
2020-05-25,21.3,9.2
2020-05-26,22.7,9.3
2020-05-27,23.8,13.0
2020-05-28,19.4,8.7
2020-05-29,19.8,8.2
2020-05-30,20.7,9.2
2020-05-31,21.8,9.2
2020-06-01,23.3,18.8
2020-06-02,24.5,15.6
2020-06-03,25.1,16.7
2020-06-04,25.6,17.7
2020-06-05,20.5,25.7
2020-06-06,16.8,5.2
2020-06-07,17.4,8.5
2020-06-08,17.5,9.4
2020-06-09,17.5,15.0
2020-06-10,18.4,17.0
2020-06-11,17.0,14.5
2020-06-12,18.9,11.0
2020-06-13,20.4,10.0
2020-06-14,22.6,11.3
2020-06-15,24.0,11.1
2020-06-16,24.9,16.5
2020-06-17,20.7,10.5
2020-06-18,19.7,9.8
2020-06-19,21.5,13.8
2020-06-20,19.3,21.5
2020-06-21,20.0,10.2
2020-06-22,23.6,6.4
2020-06-23,25.4,16.2
2020-06-24,25.9,22.8
2020-06-25,22.7,7.4
2020-06-26,25.2,14.5
2020-06-27,18.7,16.8
2020-06-28,15.0,9.6
2020-06-29,17.8,12.5
2020-06-30,20.1,6.5
2020-07-01,23.0,14.4
2020-07-02,23.7,17.7
2020-07-03,20.2,9.5
2020-07-04,18.4,13.2
2020-07-05,20.2,15.5
2020-07-06,18.8,8.9
2020-07-07,21.5,8.9
2020-07-08,24.7,8.4
2020-07-09,22.6,8.9
2020-07-10,22.6,13.0
2020-07-11,23.5,10.5
2020-07-12,22.8,8.6
2020-07-13,22.5,6.5
2020-07-14,23.7,9.4
2020-07-15,22.8,9.0
2020-07-16,26.0,8.0
2020-07-17,27.7,16.2
2020-07-18,28.9,13.6
2020-07-19,27.5,20.9
2020-07-20,27.4,17.0
2020-07-21,26.1,18.9
2020-07-22,25.5,23.1
2020-07-23,26.7,16.9
2020-07-24,25.2,17.7
2020-07-25,25.8,9.5
2020-07-26,26.6,14.9
2020-07-27,21.8,14.7
2020-07-28,23.7,10.1
2020-07-29,22.8,16.5
2020-07-30,22.5,11.2
2020-07-31,22.1,9.3
2020-08-01,24.0,9.9
2020-08-02,23.9,10.7
2020-08-03,22.3,12.2
2020-08-04,24.4,17.2
2020-08-05,26.1,12.1
2020-08-06,27.2,9.0
2020-08-07,26.6,8.6
2020-08-08,27.6,10.2
2020-08-09,24.6,17.0
2020-08-10,25.9,10.2
2020-08-11,25.9,17.8
2020-08-12,24.5,12.1
2020-08-13,21.9,20.9
2020-08-14,21.4,6.4
2020-08-15,23.9,9.1
2020-08-16,26.1,22.2
2020-08-17,27.2,11.3
2020-08-18,19.2,15.2
2020-08-19,21.1,8.1
2020-08-20,22.2,8.8
2020-08-21,22.3,14.0
2020-08-22,23.2,7.6
2020-08-23,25.1,8.3
2020-08-24,27.9,13.9
2020-08-25,25.6,18.7
2020-08-26,21.0,15.5
2020-08-27,14.0,14.8
2020-08-28,17.7,7.5
2020-08-29,20.0,10.2
2020-08-30,20.7,7.7
2020-08-31,23.8,10.3
2020-09-01,21.5,7.9
2020-09-02,24.4,7.2
2020-09-03,21.1,14.0
2020-09-04,22.9,18.7
2020-09-05,20.7,6.8
2020-09-06,20.5,17.4
2020-09-07,16.1,12.0
2020-09-08,14.9,9.2
2020-09-09,17.5,8.0
2020-09-10,16.1,8.7
2020-09-11,17.3,9.0
2020-09-12,19.6,24.8
2020-09-13,17.8,8.8
2020-09-14,18.4,6.9
2020-09-15,20.0,10.2
2020-09-16,20.5,6.5
2020-09-17,17.4,15.0
2020-09-18,11.9,12.6
2020-09-19,11.7,9.5
2020-09-20,14.9,10.6
2020-09-21,18.0,8.6
2020-09-22,16.3,14.1
2020-09-23,15.0,8.0
2020-09-24,15.8,10.2
2020-09-25,12.4,10.9
2020-09-26,9.0,6.9
2020-09-27,7.1,7.3
2020-09-28,8.3,9.7
2020-09-29,8.3,6.4
2020-09-30,8.7,10.8
2020-10-01,9.0,8.2
2020-10-02,9.9,7.4
2020-10-03,13.1,8.0
2020-10-04,13.6,5.9
2020-10-05,13.8,11.2
2020-10-06,6.8,14.8
2020-10-07,4.9,8.1
2020-10-08,9.9,9.3
2020-10-09,7.2,8.4
2020-10-10,5.8,5.8
2020-10-11,7.1,6.8
2020-10-12,9.8,6.5
2020-10-13,10.2,10.9
2020-10-14,10.6,6.9
2020-10-15,12.1,7.7
2020-10-16,13.0,6.1
2020-10-17,13.4,6.5
2020-10-18,13.6,9.2
2020-10-19,13.4,14.3
2020-10-20,13.7,12.4
2020-10-21,16.1,8.9
2020-10-22,12.3,17.3
2020-10-23,4.8,6.9
2020-10-24,5.2,6.2
2020-10-25,7.5,4.8
2020-10-26,9.5,10.9
2020-10-27,11.9,11.2
2020-10-28,4.1,10.6
2020-10-29,2.6,9.0
2020-10-30,4.3,8.2
2020-10-31,5.7,6.6
2020-11-01,7.4,6.5
2020-11-02,8.9,7.0
2020-11-03,9.9,10.1
2020-11-04,6.0,11.1
2020-11-05,4.3,12.9
2020-11-06,6.2,13.8
2020-11-07,8.1,7.0
2020-11-08,12.6,19.4
2020-11-09,4.8,15.1
2020-11-10,3.3,9.7
2020-11-11,5.6,11.3
2020-11-12,4.8,13.7
2020-11-13,-0.3,14.8
2020-11-14,-0.7,15.1
2020-11-15,-0.2,10.9
2020-11-16,-0.4,13.6
2020-11-17,-7.7,19.1
2020-11-18,-7.8,19.1
2020-11-19,-8.7,15.0
2020-11-20,-9.2,18.5
2020-11-21,-7.9,21.5
2020-11-22,-8.2,19.1
2020-11-23,-6.8,9.8
2020-11-24,-6.5,9.1
2020-11-25,-4.7,14.6
2020-11-26,-2.0,10.6
2020-11-27,-0.6,10.5
2020-11-28,-0.6,17.7
2020-11-29,-4.5,10.3
2020-11-30,-8.3,10.8
2020-12-01,-7.8,18.1
2020-12-02,-2.4,10.9
2020-12-03,2.0,6.5
2020-12-04,0.2,6.6
2020-12-05,-3.6,7.2
2020-12-06,-5.3,15.6
2020-12-07,-5.9,14.1
2020-12-08,-7.9,18.1
2020-12-09,-5.1,13.2
2020-12-10,-5.2,9.8
2020-12-11,-7.4,13.7
2020-12-12,-9.7,16.1
2020-12-13,-10.2,17.4
2020-12-14,-9.2,12.6
2020-12-15,-9.4,11.8
2020-12-16,-10.3,14.1
2020-12-17,-9.2,14.4
2020-12-18,-6.8,9.9
2020-12-19,-3.2,9.7
2020-12-20,-2.7,9.1
2020-12-21,-7.8,12.2
2020-12-22,-10.4,14.2
2020-12-23,-11.7,16.9
2020-12-24,-10.3,14.2
2020-12-25,-6.0,13.0
2020-12-26,-5.7,9.7
2020-12-27,-8.8,9.1
2020-12-28,-9.8,21.1
2020-12-29,-7.4,22.3
2020-12-30,-8.5,14.0
2020-12-31,-9.1,12.6
2021-01-01,-8.3,8.4
2021-01-02,-12.1,16.6
2021-01-03,-15.3,19.1
2021-01-04,-14.7,24.4
2021-01-05,-12.0,21.3
2021-01-06,-12.8,15.3
2021-01-07,-12.8,13.7
2021-01-08,-11.7,8.8
2021-01-09,-10.5,7.9
2021-01-10,-8.1,18.8
2021-01-11,-1.9,12.1
2021-01-12,0.3,12.1
2021-01-13,-4.1,12.0
2021-01-14,-9.6,14.3
2021-01-15,-9.4,20.2
2021-01-16,-1.4,22.6
2021-01-17,0.8,13.0
2021-01-18,-2.0,18.0
2021-01-19,2.9,9.4
2021-01-20,1.9,10.8
2021-01-21,2.6,10.5
2021-01-22,-2.6,15.4
2021-01-23,-10.6,10.4
2021-01-24,-4.9,8.4
2021-01-25,-8.9,16.1
2021-01-26,-7.9,13.8
2021-01-27,-8.2,17.0
2021-01-28,-8.3,16.3
2021-01-29,-7.1,13.7
2021-01-30,-3.0,15.6
2021-01-31,1.4,10.7
2021-02-01,4.0,8.9
2021-02-02,4.5,6.4
2021-02-03,3.4,6.8
2021-02-04,4.1,7.1
2021-02-05,5.0,9.3
2021-02-06,5.9,8.0
2021-02-07,2.8,9.7
2021-02-08,4.6,10.8
2021-02-09,-1.3,13.8
2021-02-10,-2.2,13.8
2021-02-11,1.1,6.5
2021-02-12,2.2,8.6
2021-02-13,0.1,14.2
2021-02-14,1.7,8.4
2021-02-15,4.0,9.1
2021-02-16,6.3,8.6
2021-02-17,6.6,9.5
2021-02-18,7.9,14.5
2021-02-19,9.8,13.6
2021-02-20,2.0,8.8
2021-02-21,-0.4,11.4
2021-02-22,2.1,9.5
2021-02-23,0.7,10.4
2021-02-24,-0.6,15.8
2021-02-25,-10.1,24.4
2021-02-26,-13.3,11.4
2021-02-27,-9.7,10.1
2021-02-28,-4.0,8.3
2021-03-01,2.2,8.9
2021-03-02,5.3,11.4
2021-03-03,-0.1,8.9
2021-03-04,2.5,13.2
2021-03-05,0.4,13.2
2021-03-06,3.1,11.4
2021-03-07,4.5,9.7
2021-03-08,4.8,7.3
2021-03-09,6.5,8.6
2021-03-10,8.7,7.9
2021-03-11,2.2,11.3
2021-03-12,5.3,16.3
2021-03-13,0.8,27.7
2021-03-14,-3.0,30.0
2021-03-15,-4.9,17.3
2021-03-16,-4.4,17.0
2021-03-17,-4.4,8.3
2021-03-18,-1.4,13.6
2021-03-19,4.8,14.3
2021-03-20,7.1,14.3
2021-03-21,2.6,10.2
2021-03-22,7.3,18.2
2021-03-23,10.0,15.6
2021-03-24,6.0,12.6
2021-03-25,12.4,13.0
2021-03-26,11.9,11.3
2021-03-27,13.5,13.5
2021-03-28,8.4,15.4
2021-03-29,3.4,11.7
2021-03-30,1.8,7.3
2021-03-31,3.2,9.2
2021-04-01,0.2,13.7
2021-04-02,-1.0,9.4
2021-04-03,2.3,11.0
2021-04-04,7.7,14.8
2021-04-05,7.5,13.4
2021-04-06,7.6,11.7
2021-04-07,8.7,8.9
2021-04-08,11.3,8.7
2021-04-09,12.4,8.4
2021-04-10,14.3,8.8
2021-04-11,14.3,11.3
2021-04-12,15.1,9.0
2021-04-13,14.9,7.9
2021-04-14,10.7,9.8
2021-04-15,13.8,8.3
2021-04-16,15.7,12.7
2021-04-17,14.7,20.7
2021-04-18,13.9,12.2
2021-04-19,15.1,10.9
2021-04-20,13.4,8.1
2021-04-21,3.0,14.2
2021-04-22,2.0,9.7
