date, pm25, pm10, no2, so2, co
2024/8/1, 43, 26, 73, 1, 6
2024/8/2, 45, 21, 66, 1, 5
2024/8/3, 42, 22, 73, 1, 4
2024/8/4, 40, 18, 96, 2, 5
2024/8/5, 37, 21, 110, 1, 5
2024/8/6, 33, 18, 92, 1, 3
2024/8/7, 25, , , , 
2024/8/8, 44, , , , 
2024/8/9, 43, 40, 136, 2, 4
2024/8/10, 50, 18, 70, 1, 3
2024/8/11, 41, 21, 99, 1, 5
2024/8/12, 40, , , , 
2024/7/1, 44, 16, 2, 1, 3
2024/7/2, 40, 17, 4, 1, 3
2024/7/3, 40, 14, 5, 1, 3
2024/7/4, 36, 52, 5, 1, 4
2024/7/5, 74, 10, 2, 1, 4
2024/7/6, 22, 18, 5, 1, 3
2024/7/7, 36, 13, 1, 1, 4
2024/7/8, 32, 9, 2, 1, 2
2024/7/9, 25, 13, 2, , 3
2024/7/10, 32, 13, 3, , 4
2024/7/11, 23, 16, 4, 1, 3
2024/7/12, 27, 18, 6, 1, 3
2024/7/13, 34, 18, 6, 1, 5
2024/7/14, 25, 21, 5, 1, 2
2024/7/15, 44, 20, 2, 1, 3
2024/7/16, 34, 17, 4, 1, 4
2024/7/17, 33, 12, 1, 1, 2
2024/7/18, 29, 10, 3, 1, 3
2024/7/19, 21, 14, , , 3
2024/7/20, 31, 18, , 1, 3
2024/7/21, 36, 24, , 1, 3
2024/7/22, 44, 20, 5, 1, 4
2024/7/23, 34, 19, 18, 1, 5
2024/7/24, 44, 23, 26, 1, 5
2024/7/25, 39, 17, 25, 1, 5
2024/7/26, 36, 21, 26, 1, 5
2024/7/27, 42, 19, 19, 1, 4
2024/7/28, 36, 22, 59, 1, 3
2024/7/29, 45, 18, 66, 1, 5
2024/7/30, 36, 21, 68, 1, 4
2024/7/31, 38, 24, 73, 1, 4
2024/4/1, 59, 43, 13, 1, 6
2024/4/2, 66, 21, 10, 1, 4
2024/4/3, 39, 31, 10, 1, 4
2024/4/4, 58, 34, 12, 1, 5
2024/4/5, 63, 27, 10, 1, 3
2024/4/6, 54, 14, 4, 1, 2
2024/4/7, 29, 27, 12, 1, 5
2024/4/8, 42, 18, 7, 1, 3
2024/4/9, 33, 10, 7, 1, 5
2024/4/10, 27, 37, 12, 1, 6
2024/4/11, 56, 29, 7, 1, 6
2024/4/12, 48, 47, 10, 1, 7
2024/4/13, 86, 34, 6, 1, 6
2024/4/14, 54, 47, 10, 1, 7
2024/4/15, 74, 24, 3, 1, 3
2024/4/16, 43, 9, 3, 1, 4
2024/4/17, 29, 12, 7, 1, 4
2024/4/18, 37, 32, 10, 1, 4
