iter	Passed	Remaining
0	0	1395
1	1	1200
2	1	1127
3	2	1094
4	2	1126
5	3	1101
6	3	1080
7	4	1075
8	4	1068
9	5	1060
10	5	1055
11	6	1063
12	6	1064
13	7	1065
14	8	1062
15	8	1058
16	9	1056
17	9	1053
18	10	1059
19	10	1071
20	11	1075
21	12	1082
22	12	1087
23	13	1089
24	13	1088
25	14	1092
26	14	1094
27	15	1097
28	16	1096
29	16	1099
30	17	1102
31	17	1099
32	18	1096
33	18	1095
34	19	1102
35	20	1104
36	20	1107
37	21	1104
38	21	1100
39	22	1096
40	22	1093
41	23	1089
42	23	1085
43	24	1082
44	24	1079
45	25	1076
46	25	1074
47	26	1075
48	26	1073
49	27	1071
50	28	1070
51	28	1069
52	29	1067
53	29	1065
54	30	1063
55	30	1061
56	31	1060
57	31	1063
58	32	1062
59	32	1060
60	33	1058
61	33	1057
62	34	1055
63	34	1054
64	35	1052
65	35	1051
66	36	1050
67	36	1048
68	37	1046
69	37	1045
70	38	1043
71	38	1042
72	39	1040
73	39	1039
74	40	1038
75	40	1037
76	41	1036
77	41	1034
78	42	1033
79	42	1031
80	43	1030
81	44	1029
82	44	1027
83	45	1026
84	45	1024
85	46	1024
86	46	1024
87	47	1022
88	47	1021
89	48	1020
90	48	1019
91	49	1018
92	49	1017
93	50	1016
94	50	1015
95	51	1015
96	51	1014
97	52	1013
98	52	1012
99	53	1011
100	53	1010
101	54	1009
102	54	1008
103	55	1007
104	55	1006
105	56	1005
106	56	1004
107	57	1003
108	57	1003
109	58	1002
110	58	1001
111	59	1000
112	59	999
113	60	1000
114	61	1002
115	61	1003
116	62	1003
117	62	1003
118	63	1002
119	63	1001
120	64	1001
121	65	1000
122	65	1000
123	66	999
124	66	998
125	67	997
126	67	996
127	68	996
128	68	995
129	69	995
130	69	994
131	70	993
132	70	993
133	71	992
134	71	991
135	72	991
136	73	993
137	74	1000
138	74	1000
139	75	1000
140	75	999
141	76	999
142	76	998
143	77	997
144	77	997
145	78	996
146	78	995
147	79	994
148	80	994
149	80	993
150	81	992
151	81	991
152	82	991
153	82	990
154	83	990
155	83	989
156	84	988
157	84	988
158	85	987
159	85	986
160	86	986
161	86	985
162	87	985
163	88	986
164	88	985
165	89	985
166	89	984
167	90	984
168	90	983
169	91	983
170	91	982
171	92	981
172	92	980
173	93	980
174	93	979
175	94	978
176	94	978
177	95	977
178	96	976
179	96	976
180	97	975
181	97	974
182	98	974
183	98	973
184	99	972
185	99	972
186	100	971
187	100	971
188	101	970
189	101	970
190	102	969
191	102	968
192	103	969
193	104	968
194	104	967
195	105	967
196	105	966
197	106	966
198	106	965
199	107	964
200	107	964
201	108	963
202	108	962
203	109	961
204	109	961
205	110	960
206	110	960
207	111	959
208	111	958
209	112	958
210	112	957
211	113	956
212	113	956
213	114	955
214	115	954
215	115	954
216	116	953
217	116	953
218	117	952
219	117	951
220	118	951
221	118	950
222	119	950
223	119	949
224	120	948
225	120	948
226	121	947
227	121	947
228	122	946
229	122	946
230	123	945
231	124	945
232	124	944
233	125	943
234	125	943
235	126	942
236	126	942
237	127	942
238	127	941
239	128	940
240	128	940
241	129	939
242	129	939
243	130	938
244	130	937
245	131	937
246	131	936
247	132	935
248	133	935
249	133	934
250	134	934
251	134	934
252	135	934
253	135	933
254	136	933
255	136	932
256	137	931
257	137	931
258	138	930
259	138	930
260	139	929
261	140	929
262	140	928
263	141	927
264	141	927
265	142	926
266	142	925
267	143	925
268	143	924
269	144	923
270	144	923
271	145	922
272	145	922
273	146	921
274	146	921
275	147	920
276	147	919
277	148	920
278	149	919
279	149	919
280	150	918
281	150	918
282	151	917
283	151	917
284	152	916
285	152	916
286	153	915
287	153	915
288	154	914
289	155	914
290	155	913
291	156	913
292	156	912
293	157	911
294	157	911
295	158	910
296	158	910
297	159	909
298	159	909
299	160	908
300	160	908
301	161	907
302	161	907
303	162	906
304	163	907
305	163	907
306	164	906
307	164	905
308	165	905
309	166	905
310	166	904
311	167	903
312	167	903
313	168	902
314	168	902
315	169	901
316	169	900
317	170	900
318	170	899
319	171	899
320	171	898
321	172	897
322	172	897
323	173	896
324	173	896
325	174	895
326	174	894
327	175	894
328	175	893
329	176	892
330	176	892
331	177	892
332	178	892
333	179	892
334	179	892
335	180	891
336	180	891
337	181	892
338	182	892
339	182	892
340	183	892
341	184	892
342	184	892
343	185	892
344	186	892
345	186	892
346	187	892
347	188	892
348	188	892
349	189	892
