fold,test_month,n_train_days,n_test_days,is_heating_test,has_heating_in_train,MAE,RMSE,MAPE(%),R2
1,2018-07,33,31,False,False,2.153185211514584,2.8347681658687596,16.53952275548205,0.5644778843816339
2,2018-08,64,31,False,False,2.769080648257518,3.7386719979648477,21.59673501309529,0.21907666310923402
3,2018-09,95,30,False,False,4.554091997116154,5.740439203422794,22.594379394262866,-0.35133677286574727
4,2018-10,125,31,False,False,9.425006206455215,13.903259335338465,26.326986955214586,-0.3704438173891478
5,2019-04,307,30,False,True,7.373433737032036,9.321273848758363,43.156150191562645,-0.10378636798973417
6,2019-05,337,31,False,True,3.417866492243545,4.4177903698663705,24.50177297298662,0.4903160513791446
7,2019-06,368,30,False,True,2.092296082256282,2.6321544105074475,17.091747684646904,0.5904348743214337
8,2019-07,398,31,False,True,6.1072701493074995,7.86519297748161,23.219141142870686,0.29963513260757346
9,2019-08,429,31,False,True,4.095443040900513,5.8842819782886915,32.64072576055241,-1.7750614984925228
10,2019-09,460,30,False,True,2.880381836829962,3.793246637833943,31.993507842503906,0.6350808762865818
11,2019-10,490,31,False,True,6.191753336261008,7.179314062538685,25.681448775693855,0.5109747118339971
12,2019-11,521,30,True,True,11.933030956112495,14.415450649921947,26.612710767176424,0.44103429504970726
13,2019-12,551,31,True,True,21.113810014463212,25.437743363960394,45.65465185991763,0.1121467989135807
14,2020-01,582,31,True,True,15.947220453837517,22.027256875793128,23.205505886045938,0.5813744129023697
15,2020-02,613,29,True,True,12.018597491533404,14.547491683318285,24.429086161790156,0.6712497543313554
16,2020-03,642,31,True,True,8.533293916957144,11.182165212030036,24.947677917234095,0.2822112939807676
17,2020-04,673,30,False,True,4.025423111795187,5.517534890849835,26.682851312838213,0.574379591948642
18,2020-05,703,31,False,True,2.4657889341464743,3.080760066836055,30.780331308116683,0.010329847240393097
19,2020-06,734,30,False,True,2.2968720574641934,2.7532671023244224,31.558495578518958,-0.13574599599006998
20,2020-07,764,31,False,True,2.0966547324126554,2.584384596654567,27.002669051163114,0.1691964132210898
21,2020-08,795,31,False,True,2.51547653392732,3.38515039322409,22.266909737030804,0.2602165495078098
22,2020-09,826,30,False,True,3.1233534576664685,3.6245741433524525,26.831989094145424,0.28130601212588224
23,2020-10,856,7,False,True,2.3552902651350087,3.430178080527598,8.092052792627294,0.34208023172865154
