date,9,temp,wind_speed,humidity,pressure
2017-05-07,17.0,13.9,15.8,72.46,914.74
2017-05-08,17.0,16.4,10.8,60.54,913.49
2017-05-09,17.0,17.9,15.3,52.08,912.98
2017-05-10,17.0,19.1,9.0,48.75,911.27
2017-05-11,17.0,17.9,23.2,54.42,915.86
2017-05-12,17.0,19.5,11.1,45.25,915.64
2017-05-13,41.0,21.0,8.3,37.71,912.55
2017-05-14,22.0,21.6,11.9,43.75,907.39
2017-05-15,10.0,22.6,32.8,42.92,906.41
2017-05-16,13.0,21.2,20.0,52.0,906.55
2017-05-17,22.0,17.5,8.4,73.67,908.43
2017-05-18,14.0,15.3,12.2,83.42,909.9
2017-05-19,37.0,12.4,8.7,79.58,917.59
2017-05-20,37.0,14.3,7.5,57.83,916.09
2017-05-21,35.0,17.6,9.0,55.67,910.76
2017-05-22,23.0,19.8,8.9,53.38,906.53
2017-05-23,7.0,22.7,16.4,41.0,910.95
2017-05-24,8.0,19.9,10.8,66.33,913.35
2017-05-25,10.0,21.2,21.1,52.0,911.03
2017-05-26,9.0,17.7,12.1,69.96,913.78
2017-05-27,11.0,19.1,11.7,51.75,912.22
2017-05-28,10.0,20.2,13.7,46.08,910.75
2017-05-29,8.0,21.1,15.5,46.08,909.05
2017-05-30,8.0,17.7,16.7,63.79,913.55
2017-05-31,14.0,15.6,7.4,59.42,915.28
2017-06-01,17.0,17.8,8.2,54.75,910.98
2017-06-02,10.0,18.3,14.1,46.12,910.39
2017-06-03,12.0,20.0,14.8,40.79,908.77
2017-06-04,18.0,20.0,15.3,48.58,910.38
2017-06-05,7.0,16.4,13.3,79.5,915.69
2017-06-06,10.0,16.9,19.4,65.25,910.45
2017-06-07,5.0,15.1,18.0,57.33,916.51
2017-06-08,15.0,16.4,14.7,48.71,912.15
2017-06-09,12.0,19.7,16.1,43.79,906.99
2017-06-10,10.0,21.0,18.5,47.83,904.94
2017-06-11,18.0,16.3,13.9,66.67,911.77
2017-06-12,23.0,19.0,6.5,64.04,908.63
2017-06-13,16.0,21.9,15.7,54.42,907.88
2017-06-14,10.0,23.5,16.0,49.75,908.2
2017-06-15,10.0,22.6,29.6,51.04,909.61
2017-06-16,17.0,21.2,25.9,60.62,908.02
2017-06-17,14.0,23.2,17.9,44.92,907.79
2017-06-18,11.0,24.1,14.9,44.12,908.05
2017-06-19,11.0,23.8,11.9,48.08,906.97
2017-06-20,14.0,23.1,18.2,48.62,905.68
2017-06-21,17.0,24.0,22.6,43.62,904.28
2017-06-22,14.0,25.1,12.3,41.96,904.37
2017-06-23,12.0,26.5,17.1,36.46,904.66
2017-06-24,8.0,22.9,13.5,54.79,908.13
2017-06-25,10.0,20.1,8.4,64.71,909.99
2017-06-26,9.0,22.4,11.2,50.83,908.92
2017-06-27,9.0,21.2,14.1,56.67,910.34
2017-06-28,11.0,18.3,10.9,71.62,912.08
2017-06-29,11.0,18.9,11.9,64.46,910.52
2017-06-30,16.0,21.0,6.6,53.79,907.18
2017-07-01,18.0,23.5,10.5,42.46,907.04
2017-07-02,13.0,25.4,10.8,37.33,909.08
2017-07-03,18.0,25.8,8.2,37.58,909.47
2017-07-04,15.0,25.7,8.6,34.38,906.24
2017-07-05,20.0,26.8,11.5,35.0,904.9
2017-07-06,18.0,26.9,8.4,34.96,909.82
2017-07-07,20.0,27.6,8.4,34.92,907.12
2017-07-08,17.0,29.1,7.6,35.17,905.81
2017-07-09,14.0,29.7,16.6,34.83,905.92
2017-07-10,20.0,28.3,18.8,33.88,908.51
2017-07-11,45.0,26.6,8.8,37.96,907.15
2017-07-12,23.0,25.2,15.0,40.38,905.58
2017-07-13,12.0,20.6,11.7,62.42,906.05
2017-07-14,8.0,21.2,7.9,50.75,908.7
2017-07-15,22.0,21.0,9.0,50.71,911.83
2017-07-16,19.0,21.5,7.6,53.38,909.81
2017-07-17,12.0,21.7,11.8,49.38,910.89
2017-07-18,12.0,22.6,13.0,39.88,912.09
2017-07-19,11.0,23.2,16.0,37.96,911.08
2017-07-20,17.0,22.2,10.6,42.04,910.16
2017-07-21,21.0,23.8,7.5,35.29,909.86
2017-07-22,18.0,24.4,7.1,35.12,910.13
2017-07-23,18.0,25.0,6.9,36.92,908.54
2017-07-24,15.0,25.5,9.1,36.25,907.62
2017-07-25,15.0,26.2,13.4,30.46,905.38
2017-07-26,15.0,28.0,15.3,29.33,904.48
2017-07-27,15.0,28.8,15.6,26.62,904.78
2017-07-28,18.0,28.9,10.5,24.17,908.13
2017-07-29,22.0,27.8,9.6,31.46,908.83
2017-07-30,26.0,26.5,13.8,32.71,908.78
2017-07-31,15.0,26.1,9.0,30.29,908.63
2017-08-01,20.0,26.4,7.9,30.67,908.22
2017-08-02,23.0,24.7,7.9,32.79,908.32
2017-08-03,32.0,25.5,18.6,35.5,905.68
2017-08-04,16.0,22.8,10.0,45.21,906.94
2017-08-05,11.0,22.7,12.6,46.29,911.06
2017-08-06,17.0,24.8,10.2,36.88,912.38
2017-08-07,23.0,25.7,7.4,41.17,911.9
2017-08-08,17.0,27.0,10.0,30.21,911.57
2017-08-09,23.0,27.1,8.2,32.88,907.39
2017-08-10,11.0,26.2,12.8,32.75,903.18
2017-08-11,12.0,21.7,18.9,50.17,904.32
