iter	RMSE
0	40.9177798
1	38.35856086
2	36.32871076
3	34.54495679
4	32.91511847
5	31.4471972
6	30.01384459
7	28.94620305
8	27.94503698
9	27.0223047
10	26.13625901
11	25.33058409
12	24.71710641
13	24.07701957
14	23.35879524
15	22.79751972
16	22.34182295
17	21.73231587
18	21.29115821
19	20.95272007
20	20.66685224
21	20.36924328
22	20.12714175
23	19.93734675
24	19.68529377
25	19.4124299
26	19.05467085
27	18.87591058
28	18.59052336
29	18.36041868
30	18.18917698
31	17.94481898
32	17.86857253
33	17.65016649
34	17.48576349
35	17.35166246
36	17.19551299
37	16.97013894
38	16.77122592
39	16.63130236
40	16.52536032
41	16.47873553
42	16.33740707
43	16.0736541
44	15.91429034
45	15.85628736
46	15.70310866
47	15.60144698
48	15.5460868
49	15.47508164
50	15.39230805
51	15.26033261
52	15.18100864
53	15.10748371
54	15.0460715
55	15.0011628
56	14.92182465
57	14.84103455
58	14.72885391
59	14.67892658
60	14.62941232
61	14.57166538
62	14.46977379
63	14.38616449
64	14.36396767
65	14.30916494
66	14.10978249
67	14.04355901
68	13.97989246
69	13.93592244
70	13.90361322
71	13.86735879
72	13.85205507
73	13.7999777
74	13.62721282
75	13.61370695
76	13.55222112
77	13.40887807
78	13.25687807
79	13.08015124
80	12.92830075
81	12.85238797
82	12.83550211
83	12.80134788
84	12.73559279
85	12.72007132
86	12.70642613
87	12.69298518
88	12.65094624
89	12.52927279
90	12.51683402
91	12.41591591
92	12.40623537
93	12.39712854
94	12.28507255
95	12.27313059
96	12.21704624
97	12.20696795
98	12.09330626
99	12.08281772
100	11.96465361
101	11.89866109
102	11.84026049
103	11.77323728
104	11.70699433
105	11.69830354
106	11.6142834
107	11.52071974
108	11.49910753
109	11.40305531
110	11.33881653
111	11.30036019
112	11.22553069
113	11.21778414
114	11.1238971
115	11.09555914
116	11.08428252
117	11.00885746
118	10.98674091
119	10.96207046
120	10.91126694
121	10.8866134
122	10.85580167
123	10.77724945
124	10.70689973
125	10.66076811
126	10.60510267
127	10.57860069
128	10.51153919
129	10.43786096
130	10.36282381
131	10.27770627
132	10.22159608
133	10.16337345
134	10.1313927
135	10.09688275
136	10.07448402
137	10.00251692
138	9.980874209
139	9.916047918
140	9.863549489
141	9.813704203
142	9.794280717
143	9.766395192
144	9.720225034
145	9.65555594
146	9.638231645
147	9.598994853
148	9.59531472
149	9.576193147
150	9.536771472
151	9.483403793
152	9.454429336
153	9.395928784
154	9.356922894
155	9.301420643
156	9.249330494
157	9.223237994
158	9.200464144
159	9.142745399
160	9.101988073
161	9.087777702
162	9.037200572
163	9.020445848
164	9.005979044
165	8.958314418
166	8.906983021
167	8.846239975
168	8.812841761
169	8.796046938
170	8.78404798
171	8.75115026
172	8.716637128
173	8.672518259
174	8.624423897
175	8.575474643
176	8.558490125
177	8.506999751
178	8.449139841
179	8.405682812
180	8.339165879
181	8.307281992
182	8.296023126
183	8.25307561
