iter	Passed	Remaining
0	0	793
1	1	793
2	2	787
3	3	954
4	4	865
5	5	832
6	5	787
7	6	767
8	6	752
9	7	736
10	7	714
11	8	696
12	9	684
13	9	680
14	10	666
15	10	658
16	11	647
17	11	641
18	12	633
19	12	624
20	13	616
21	13	608
22	14	601
23	14	595
24	15	589
25	15	583
26	16	578
27	16	572
28	16	566
29	17	561
30	17	556
31	18	552
32	18	547
33	19	543
34	19	539
35	20	535
36	20	531
37	20	528
38	21	525
39	21	522
40	22	519
41	22	516
42	23	513
43	23	512
44	24	510
45	24	509
46	25	512
47	26	517
48	26	515
49	27	513
50	27	511
51	27	508
52	28	506
53	28	505
54	29	502
55	29	501
56	30	498
57	30	497
58	31	495
59	31	493
60	31	491
61	32	489
62	32	488
63	33	486
64	33	484
65	34	483
66	34	481
67	35	480
68	35	478
69	35	477
70	36	475
71	36	474
72	37	473
73	37	471
74	38	470
75	38	469
76	39	470
77	39	470
78	40	469
79	40	468
80	41	467
81	41	466
82	42	465
83	42	464
84	43	463
85	43	462
86	43	461
87	44	459
88	44	458
89	45	457
90	45	456
91	46	455
92	46	454
93	47	453
94	47	452
95	47	451
96	48	450
97	48	449
98	49	448
99	49	447
100	50	446
101	50	445
102	51	444
103	51	443
104	51	442
105	52	441
106	52	440
107	53	439
108	53	439
109	54	441
110	55	442
111	55	441
112	56	441
113	56	441
114	57	440
115	57	440
116	58	439
117	58	439
118	59	438
119	59	438
120	60	437
121	60	436
122	61	435
123	61	435
124	62	434
125	62	433
126	62	433
127	63	432
128	63	431
129	64	430
130	64	430
131	65	429
132	65	428
133	66	428
134	66	427
135	67	426
136	67	426
137	68	425
138	68	424
139	69	424
140	69	424
141	70	424
142	70	423
143	71	423
144	71	422
145	72	422
146	72	421
147	73	421
148	73	420
149	74	419
150	74	419
151	75	418
152	75	417
153	75	417
154	76	416
155	76	415
156	77	415
157	77	414
158	78	413
159	78	413
160	79	412
161	79	411
162	80	411
163	80	410
164	80	409
165	81	409
166	81	408
167	82	407
168	82	407
169	83	406
170	83	406
171	84	405
172	84	405
173	85	405
174	85	405
175	86	405
176	87	404
177	87	404
178	87	403
179	88	402
180	88	402
181	89	401
182	89	401
183	90	400
184	90	399
185	91	399
186	91	398
187	92	398
188	92	397
189	93	396
190	93	396
191	93	395
192	94	394
193	94	394
194	95	393
195	95	392
196	96	392
197	96	391
198	97	391
199	97	390
200	98	389
201	98	389
202	99	388
203	99	388
204	100	388
205	100	388
206	101	387
207	101	387
208	102	386
209	102	386
210	103	385
211	103	385
212	104	384
213	104	383
214	104	383
215	105	382
216	105	382
217	106	381
218	106	380
219	107	380
220	107	379
221	108	379
222	108	378
223	109	378
224	109	377
225	110	376
226	110	376
227	110	375
228	111	375
229	111	374
230	112	374
231	112	373
232	113	372
233	113	372
234	114	371
235	114	371
236	115	371
237	115	370
238	116	370
239	116	369
240	117	369
241	117	368
242	118	368
243	118	367
244	119	367
245	119	366
246	120	365
247	120	365
248	120	364
249	121	364
250	121	363
251	122	363
252	122	362
253	123	361
254	123	361
255	124	360
256	124	360
257	125	359
258	125	359
259	125	358
260	126	357
261	126	357
262	127	356
263	127	356
264	128	355
265	128	355
266	129	354
267	129	354
268	130	354
269	130	354
270	131	353
271	131	353
272	132	352
273	132	351
274	133	351
275	133	350
276	134	350
277	134	349
278	135	349
279	135	348
280	136	348
281	136	347
282	136	347
283	137	346
284	137	345
285	138	345
286	138	344
287	139	344
288	139	343
289	140	343
290	140	342
291	141	342
292	141	341
293	142	341
294	142	340
295	142	340
296	143	339
297	143	339
298	144	338
299	144	337
300	145	337
301	145	337
302	146	336
303	146	336
304	147	335
305	147	334
306	148	334
307	148	333
308	149	333
309	149	332
310	150	332
311	150	331
312	150	331
313	151	330
314	151	330
315	152	329
316	152	329
317	153	328
318	153	328
319	154	327
320	154	326
321	155	326
322	155	325
323	155	325
324	156	324
325	156	324
326	157	323
327	157	323
328	158	322
329	158	322
330	159	321
331	159	321
332	160	320
333	160	320
334	161	319
335	161	319
336	162	319
337	162	318
338	163	317
339	163	317
340	163	316
341	164	316
342	164	315
343	165	315
344	165	314
345	166	314
346	166	313
347	167	313
348	167	312
349	168	312
350	168	311
351	169	311
352	169	310
353	170	310
354	170	309
355	170	309
356	171	308
357	171	308
358	172	307
359	172	307
360	173	306
361	173	306
362	174	305
363	174	304
364	175	304
365	175	304
366	176	304
367	176	303
368	177	303
369	178	303
370	178	302
371	178	302
372	179	301
373	179	301
374	180	300
375	180	300
376	181	299
377	181	299
378	182	298
379	182	298
380	183	297
381	183	297
382	184	296
383	184	296
384	185	295
385	185	295
386	185	294
387	186	294
388	186	293
389	187	293
390	187	292
391	188	292
392	188	291
393	189	291
394	189	290
395	190	290
396	190	289
397	191	289
398	191	288
399	192	288
400	192	288
401	193	287
402	194	287
403	195	287
404	195	287
405	196	287
406	212	310
407	214	311
408	216	312
409	218	314
410	219	315
411	221	315
412	221	315
413	222	314
414	222	314
415	223	313
416	224	313
417	224	312
418	225	312
419	225	311
420	226	311
421	229	314
422	231	315
423	232	315
424	232	315
425	233	314
426	233	313
427	234	313
428	234	312
429	235	312
430	235	311
431	236	310
432	236	310
433	237	309
434	237	309
435	238	308
436	238	307
437	239	307
438	240	306
439	240	306
440	241	305
441	241	304
442	242	304
443	242	303
444	242	303
445	243	302
446	243	301
447	244	301
448	244	300
449	245	299
450	245	299
451	246	298
452	246	298
453	247	297
454	247	296
455	248	296
456	248	295
457	249	294
458	249	294
459	250	293
460	250	293
461	251	292
462	251	291
463	252	291
464	252	290
465	253	289
466	253	289
467	254	288
468	254	288
469	255	287
470	255	287
471	256	286
472	256	286
473	257	285
474	257	284
475	258	284
476	258	283
477	259	283
478	259	282
479	260	282
480	260	281
481	261	280
482	261	280
483	262	279
484	262	279
485	263	278
486	263	277
487	264	277
488	264	276
489	265	275
490	265	275
491	266	274
492	266	274
493	267	273
494	267	272
495	268	272
496	268	271
497	269	271
498	269	270
499	270	270
500	270	269
501	271	268
502	271	268
503	271	267
504	272	267
505	272	266
506	273	265
507	273	265
508	274	264
509	274	264
510	275	263
511	275	262
512	276	262
513	276	261
514	277	261
515	277	260
516	278	259
517	278	259
518	279	258
519	279	258
520	280	257
521	280	256
522	281	256
523	281	255
524	281	255
525	282	254
526	282	253
527	283	253
528	283	252
529	284	252
530	284	251
531	285	251
532	285	250
533	286	249
534	286	249
535	287	248
536	287	248
537	288	247
538	288	247
539	289	246
540	289	245
541	290	245
542	290	244
543	291	244
544	291	243
545	292	243
546	292	242
547	293	241
548	293	241
549	294	240
550	294	240
551	295	239
552	295	238
553	296	238
554	296	237
555	297	237
556	297	236
557	298	236
558	298	235
559	298	234
560	299	234
561	299	233
562	300	233
563	301	232
564	301	232
565	302	231
566	302	231
567	303	230
568	303	229
569	304	229
570	304	228
571	305	228
572	305	227
573	306	227
574	306	226
575	307	226
576	307	225
577	308	224
578	308	224
579	309	223
580	309	223
581	309	222
582	310	222
583	310	221
584	311	220
585	311	220
586	312	219
587	312	219
588	313	218
589	313	218
590	314	217
591	314	216
592	315	216
593	315	215
594	316	215
595	316	214
596	317	214
597	317	213
598	318	213
599	318	212
600	319	211
601	319	211
602	320	210
603	320	210
604	321	209
605	321	209
606	322	208
607	322	207
608	322	207
609	323	206
610	323	206
611	324	205
612	324	205
613	325	204
614	325	203
615	326	203
616	326	202
617	327	202
618	327	201
619	328	201
620	328	200
621	329	200
622	329	199
623	330	198
624	330	198
625	331	197
626	331	197
627	332	196
628	332	196
629	333	195
630	333	195
631	334	194
632	334	193
633	334	193
634	335	192
635	335	192
636	336	191
637	336	191
638	337	190
639	337	190
640	338	189
641	338	188
642	339	188
643	339	187
644	340	187
645	340	186
646	341	186
647	341	185
648	342	184
649	342	184
650	342	183
651	343	183
652	343	182
653	344	182
654	344	181
655	345	181
656	345	180
657	346	180
658	346	179
659	347	178
660	347	178
661	348	177
662	348	177
663	349	176
664	349	176
665	350	175
666	350	175
667	351	174
668	351	173
669	352	173
670	352	172
671	353	172
672	353	171
673	353	171
674	354	170
675	354	170
676	355	169
677	355	169
678	356	168
679	356	167
680	357	167
681	357	166
682	358	166
683	358	165
684	359	165
685	359	164
686	360	164
687	360	163
688	361	163
689	361	162
690	362	161
691	362	161
692	363	160
693	363	160
694	364	159
695	364	159
696	365	158
697	365	158
698	366	157
699	366	157
700	366	156
701	367	155
702	367	155
703	368	154
704	368	154
705	369	153
706	369	153
707	370	152
708	370	152
709	371	151
710	371	151
711	372	150
712	372	150
713	373	149
714	373	148
715	374	148
716	374	147
717	375	147
718	375	146
719	376	146
720	376	145
721	377	145
722	377	144
723	378	144
724	378	143
725	379	143
726	380	142
727	380	142
728	381	141
729	381	141
730	382	140
731	382	140
732	383	139
733	383	139
734	384	138
735	384	137
736	385	137
737	385	136
738	386	136
739	386	135
740	387	135
741	387	134
742	387	134
743	388	133
744	388	133
745	389	132
746	389	132
747	390	131
748	390	130
749	391	130
750	391	129
751	392	129
752	392	128
